WPID,bssid,frequency,level,Latittude,Longitude
1,28:80:a2:02:d5:e9,2437,-51,34.097591,-118.290459
9,70:7d:b9:d1:b5:0e,5320,-93,34.097411,-118.290887
1,0e:e0:5a:51:bb:c6,5745,-18,34.097581,-118.290467
1,0c:7c:28:9c:08:ac,2452,-56,34.097581,-118.290467
1,38:0e:4d:27:17:cf,5580,-61,34.097581,-118.290467
1,38:0e:4d:27:17:ce,5580,-61,34.097581,-118.290467
1,38:0e:4d:27:17:cd,5580,-60,34.097581,-118.290467
1,38:0e:4d:27:17:cc,5580,-60,34.097581,-118.290467
1,9e:2b:77:8e:45:c7,2462,-61,34.097581,-118.290467
1,0c:7c:28:9c:08:b0,5240,-66,34.097581,-118.290467
1,70:7d:b9:ec:fa:4f,5180,-68,34.097581,-118.290467
9,70:7d:b9:d1:b5:0c,5320,-91,34.097411,-118.290887
1,70:7d:b9:ec:fa:4e,5180,-69,34.097581,-118.290467
1,70:7d:b9:ec:fa:4d,5180,-69,34.097581,-118.290467
1,70:7d:b9:f9:58:4f,5720,-73,34.097581,-118.290467
1,70:7d:b9:f9:58:4e,5720,-73,34.097581,-118.290467
1,70:7d:b9:f9:58:4d,5720,-75,34.097581,-118.290467
1,70:7d:b9:f9:58:4c,5720,-75,34.097581,-118.290467
1,38:0e:4d:27:18:2e,5320,-77,34.097581,-118.290467
1,38:0e:4d:27:18:2f,5320,-78,34.097581,-118.290467
1,70:7d:b9:ec:fa:40,5640,-79,34.097581,-118.290467
1,70:7d:b9:ec:fa:41,5640,-79,34.097581,-118.290467
1,00:a7:42:a3:41:4f,5805,-80,34.097581,-118.290467
1,0c:7c:28:9c:08:b4,5805,-68,34.097581,-118.290467
1,00:a7:42:a3:41:4e,5805,-79,34.097581,-118.290467
9,70:7d:b9:d1:b5:0d,5320,-91,34.097411,-118.290887
9,38:0e:4d:26:cc:6c,5620,-90,34.097411,-118.290887
9,38:0e:4d:10:e7:cf,5745,-85,34.097411,-118.290887
9,9e:2b:77:8e:45:c7,2462,-86,34.097411,-118.290887
9,38:0e:4d:2b:54:ec,5660,-84,34.097411,-118.290887
9,38:0e:4d:10:e7:cd,5745,-85,34.097411,-118.290887
9,38:0e:4d:10:e7:cc,5745,-86,34.097411,-118.290887
9,70:7d:b9:f9:51:0e,5640,-88,34.097411,-118.290887
9,70:7d:b9:f9:51:0d,5640,-88,34.097411,-118.290887
9,70:7d:b9:f9:51:0c,5640,-88,34.097411,-118.290887
9,70:7d:b9:d8:2e:ee,5640,-89,34.097411,-118.290887
9,70:7d:b9:d8:2e:ec,5640,-89,34.097411,-118.290887
9,70:7d:b9:d1:b5:0f,5320,-91,34.097411,-118.290887
9,70:7d:b9:d7:aa:81,5180,-87,34.097411,-118.290887
9,70:7d:b9:d8:2e:ed,5640,-90,34.097411,-118.290887
9,70:7d:b9:b2:5c:82,2437,-67,34.097411,-118.290887
9,38:0e:4d:10:e7:c2,2412,-79,34.097411,-118.290887
9,38:0e:4d:10:e7:c3,2412,-79,34.097411,-118.290887
9,a6:97:b1:76:2d:da,2437,-82,34.097411,-118.290887
9,70:7d:b9:d7:aa:80,5180,-85,34.097411,-118.290887
9,70:7d:b9:f9:51:0f,5640,-88,34.097411,-118.290887
9,38:0e:4d:26:cc:6f,5620,-90,34.097411,-118.290887
9,38:0e:4d:26:cc:6e,5620,-90,34.097411,-118.290887
9,38:0e:4d:26:cc:6d,5620,-90,34.097411,-118.290887
9,70:7d:b9:d8:2e:ef,5640,-90,34.097411,-118.290887
